ID Key,URL
0,http://irsg.bcs.org/ksjaward.php
1,http://csee.essex.ac.uk/staff/udo/index.html
2,https://stanfordnlp.github.io/CoreNLP/ 
3,http://orb.essex.ac.uk/ce/ce306/syllabus.html 
ID, Word, Lemma, Stem, Weight 
0,KSJ Award,,,1
1,The Udo,,,1
2,Stanford CoreNLP – Natural language software | Stanford CoreNLP,,,1
3,CE306/CE706: Syllabus,,,1
0,Award,,,0.8
0,BCS,,,0.8
0,IRSG,,,0.8
0,Jones,,,0.8
0,Karen,,,0.8
0,Microsoft,,,0.8
0,Recipients,,,0.8
0,Sp,,,0.8
0,award,,,0.8
0,members,,,0.8
0,panel,,,0.8
0,rck,,,0.8
1,Collaboration,,,0.8
1,Development,,,0.8
1,Information,,,0.8
1,Interests,,,0.8
1,Involvements,,,0.8
1,Kruschwitz,,,0.8
1,PhD,,,0.8
1,Projects,,,0.8
1,Publications,,,0.8
1,Research,,,0.8
1,Students,,,0.8
1,Teaching,,,0.8
1,Udo,,,0.8
1,co,,,0.8
2,CoreNLP,,,0.8
2,License,,,0.8
2,Programming,,,0.8
2,Stanford,,,0.8
2,language,,,0.8
2,languages,,,0.8
2,papers,,,0.8
2,software,,,0.8
2,systems,,,0.8
3,CE306,,,0.8
3,CE707,,,0.8
3,Information,,,0.8
3,Retrieval,,,0.8
3,Syllabus,,,0.8
3,changes,,,0.8
3,subject,,,0.8
0,Agichtein,,,0.6
0,BCS,,,0.6
0,Boyd,,,0.6
0,Diane,,,0.6
0,Diaz,,,0.6
0,Emine,,,0.6
0,Eugene,,,0.6
0,Evgeniy,,,0.6
0,Fernando,,,0.6
0,Gabrilovich,,,0.6
0,Graber,,,0.6
0,IRSG,,,0.6
0,Informer,,,0.6
0,Jaime,,,0.6
0,Jordan,,,0.6
0,Kelly,,,0.6
0,Lapata,,,0.6
0,Mirella,,,0.6
0,Ryen,,,0.6
0,Teevan,,,0.6
0,White,,,0.6
0,Yilmaz,,,0.6
1,January,,,0.6
1,Udo,,,0.6
1,change,,,0.6
3,Assignments,,,0.6
3,Day,,,0.6
3,Lecture,,,0.6
3,Notes,,,0.6
